,Ticker,Company,Market Cap,Sector,Industry,Country,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Scale (billion $),Labor Cost (billion $),Operating Leverage (DOL),C-Suite Diversity,Technological Enabler,ESG Score,Earnings,Price,Target Price
96,ACTG,Acacia Research Corporation,221.33M,Industrials,Specialty Business Services,USA,20.17,0.3,2.52,1.01,0.34,-,-,-,531.90%,114.60%,19.80%,20.00%,-24.90%,-330.90%,-2.40%,1.90%,2.87%,66.50%,3.74%,3.5,-39.90%,-129.80%,-3.10%,3.3,3.3,0,0.82,58.80%,-18.30%,-,26.78%,-13.11%,-26.00%,-26.23%,-9.55%,6.75%,15.72%,12.45%,-14.18%,-39.79%,37.58%,64.9,0.22,0.06,2.6,23,Industry 4.0,57.48,Mar 31/b,4.54,8
112,ADES,"Advanced Emissions Solutions, Inc.",121.79M,Industrials,Pollution & Treatment Controls,USA,-,0.04,1.21,0.79,1.55,4.97,-,0.00%,389.30%,-,-5.50%,50.00%,14.70%,387.50%,27.40%,1.20%,0.00%,45.60%,2.32%,1.34,35.70%,48.00%,-5.00%,4.8,4.4,0.02,0.03,34.60%,8.20%,60.20%,3.08%,-5.65%,0.63%,14.00%,-4.08%,4.93%,0.13%,-0.33%,-6.93%,-26.40%,34.57%,49.06,0.12,0.04,4.0,20,Industry 3.0,70.73,Mar 08/a,6.19,-
124,ADP,"Automatic Data Processing, Inc.",96.26B,Industrials,Staffing & Employment Services,USA,31.01,2.66,6.13,19.55,54.55,70.45,1.77%,57.30%,6.80%,11.09%,13.30%,13.71%,5.20%,9.00%,8.90%,0.10%,-43.18%,80.50%,-0.74%,2.2,4.90%,50.50%,29.40%,1,1,0.59,0.59,42.50%,22.50%,17.50%,12.82%,-3.62%,17.61%,24.16%,-4.62%,2.17%,10.78%,14.66%,11.79%,-3.48%,29.99%,80.3,96.26,25.76,0.7,21,Industry 4.0,58.67,Apr 27/b,240.29,219.64
128,ADSE,ADS-TEC Energy PLC,394.78M,Industrials,Electrical Equipment & Parts,Ireland,-,-,5.97,-,-,-,-,-,16.00%,32.40%,-,-,-,-,845.30%,57.54%,0.00%,5.20%,-72.74%,8.47,-,-,-,-,0.2,-,-,-,-,-,-1.90%,-10.14%,-16.77%,-15.27%,-9.75%,5.80%,1.22%,-1.90%,-13.52%,-25.46%,11.17%,48.41,0.39,0.09,2.1,28,Industry 4.0,47.89,-,8.11,16.33
130,ADT,ADT Inc.,6.83B,Industrials,Security & Protection Services,USA,9.2,-,1.29,2,278.95,5.01,1.81%,-,49.30%,15.70%,10.30%,-11.67%,12.50%,49.90%,5.00%,1.10%,0.00%,88.60%,0.22%,4.43,-2.10%,-11.50%,0.80%,0.6,0.4,2.95,2.98,70.80%,-0.40%,-6.40%,1.84%,-8.19%,-4.80%,-14.30%,-8.09%,3.40%,0.11%,0.66%,-11.43%,-35.67%,13.40%,49.8,6.83,1.55,3.9,19,Industry 3.0,49.87,Mar 01/b,7.57,10.38
146,AEHL,Antelope Enterprise Holdings Limited,6.45M,Industrials,Building Products & Equipment,China,-,-,0.21,0.59,1.19,-,-,-,-,-,31.20%,-,-29.00%,83.20%,-71.80%,49.00%,0.00%,13.90%,34.58%,1.15,-56.70%,-100.30%,-122.30%,1.6,1.2,0.46,0.68,-17.30%,-78.80%,-78.80%,32.11%,-11.66%,-45.66%,-57.27%,-9.43%,13.37%,12.59%,14.80%,-38.11%,-81.78%,37.56%,56.38,0.01,0.0,1.7,32,Industry 3.0,55.34,-,1.4,-
149,AEIS,"Advanced Energy Industries, Inc.",3.29B,Industrials,Electrical Equipment & Parts,USA,13.36,2.46,2.26,3.74,6.01,35.38,0.46%,11.30%,0.20%,29.67%,3.70%,10.00%,24.70%,-3.20%,7.00%,0.40%,0.00%,-,-0.11%,7.33,7.60%,15.70%,11.10%,3.1,2.2,0.43,0.45,36.60%,10.60%,9.30%,4.86%,-6.99%,1.20%,-27.78%,-5.19%,3.79%,-3.70%,-2.53%,-7.80%,-31.80%,7.26%,44.55,3.29,0.72,1.59,23,Industry 3.0,47.73,Feb 09/a,83.44,105.82
153,AENZ,Aenza S.A.A.,317.31M,Industrials,Engineering & Construction,Peru,-,-,0.3,0.79,1.14,39.17,-,-,86.10%,-,-38.63%,4.96%,-15.80%,-996.80%,14.30%,-,-,7.30%,-0.70%,0.34,-1.90%,-9.20%,0.80%,1,0.8,0.91,1.52,9.80%,4.00%,-2.90%,1.15%,2.33%,-3.30%,-26.97%,8.64%,4.81%,3.67%,1.80%,2.70%,-40.74%,54.39%,56.09,0.32,0.07,1.8,24,Industry 4.0,49.17,-,1.76,2.96
156,AER,AerCap Holdings N.V.,12.49B,Industrials,Airports & Air Services,Ireland,6.41,0.57,2.43,0.62,7.22,3.46,-,0.00%,387.30%,15.60%,4.00%,12.00%,0.50%,92.10%,39.30%,1.89%,0.00%,-,82.79%,2.8,2.00%,8.90%,3.20%,-,-,3.03,3.03,93.90%,44.50%,19.50%,7.24%,-24.51%,-14.63%,-13.39%,-21.87%,4.38%,-4.01%,-12.42%,-13.18%,-29.22%,15.48%,40.24,12.49,3.59,4.7,20,Industry 4.0,63.06,Mar 30/b,50.52,72.94
157,AERC,"AeroClean Technologies, Inc.",42.37M,Industrials,Pollution & Treatment Controls,USA,-,-,162.15,14.37,2.16,-,-,-,-,-,-,-,-,-,-,57.60%,0.00%,0.10%,-,0.19,-,-,-,14.3,13.4,-,-,-,-,-,0.00%,-64.07%,-,-,-62.94%,12.98%,0.84%,-11.08%,-61.74%,-96.74%,14.03%,44.49,0.04,0.01,3.7,17,Industry 4.0,42.68,-,3.82,7
174,AFI,"Armstrong Flooring, Inc.",35.14M,Industrials,Building Products & Equipment,USA,-,-,0.05,0.18,3.62,-,-,-,17.10%,-,-32.80%,47.60%,-1.80%,5.80%,14.20%,1.20%,0.00%,68.50%,1.13%,0.37,-10.60%,-24.00%,-13.00%,0.9,0.3,0,0.56,12.10%,-6.30%,-8.20%,15.38%,-40.43%,-50.75%,-69.04%,-16.67%,9.75%,8.84%,3.51%,-43.08%,-75.58%,26.58%,56.51,0.04,0.01,1.1,28,Industry 4.0,56.47,-,1.65,-
188,AGCO,AGCO Corporation,10.76B,Industrials,Farm & Heavy Construction Machinery,USA,11.31,0.88,0.97,3.14,12.11,337.43,0.56%,4.70%,109.70%,8.75%,43.30%,13.78%,8.50%,109.70%,16.10%,0.70%,-4.69%,83.30%,0.69%,1.53,10.20%,28.00%,18.10%,1.5,0.7,0.41,0.44,23.10%,9.00%,8.10%,10.21%,22.06%,13.04%,1.08%,23.34%,4.14%,2.80%,9.88%,11.38%,-9.67%,29.69%,56.51,10.76,2.97,1.8,19,Industry 3.0,60.49,Feb 08/b,140.79,156.71
193,AGFY,Agrify Corporation,127.20M,Industrials,Engineering & Construction,USA,-,-,2.12,0.69,1.19,-,-,-,-344.00%,35.60%,-,20.00%,-,-119.60%,464.30%,0.10%,0.00%,29.00%,51.71%,3.02,-19.90%,-24.30%,-13.20%,5.8,5.3,0.01,0.01,8.70%,-36.10%,-42.10%,-17.56%,-53.83%,-75.85%,-66.96%,-51.52%,14.77%,-18.13%,-29.08%,-72.09%,-88.56%,10.78%,37.17,0.13,0.03,1.0,19,Industry 3.0,58.13,Mar 23/b,4.11,11.75
217,AGX,"Argan, Inc.",635.78M,Industrials,Engineering & Construction,USA,13.66,1.41,1.27,1.83,1.32,15.54,2.48%,34.50%,145.00%,17.53%,-12.70%,10.00%,-1.00%,31.40%,-2.20%,0.80%,-10.62%,86.30%,0.01%,2.48,7.30%,13.60%,5.50%,2.2,2.2,0,0,19.90%,11.50%,9.10%,0.10%,2.34%,-8.56%,-25.72%,4.14%,2.13%,-0.83%,1.84%,-5.42%,-28.58%,9.26%,50.04,0.64,0.16,1.4,24,Industry 4.0,53.52,-,39.99,50
236,AIMC,Altra Industrial Motion Corp.,2.48B,Industrials,Specialty Industrial Machinery,USA,9.49,6.23,1.31,1.25,10.1,15.72,0.83%,70.20%,207.30%,10.72%,-15.30%,15.00%,21.80%,-380.20%,3.70%,0.50%,0.00%,-,-1.23%,2.07,0.70%,1.40%,3.50%,2.8,2.2,0.71,0.71,35.60%,5.10%,1.50%,-6.41%,-25.15%,-31.25%,-35.69%,-25.48%,4.11%,-5.57%,-13.86%,-30.42%,-45.29%,0.47%,34.74,2.48,0.5,3.2,28,Industry 4.0,44.61,Feb 16/b,37.24,65.4
243,AIR,AAR Corp.,1.69B,Industrials,Aerospace & Defense,USA,14.68,1.83,0.95,1.66,41.57,37.67,-,0.00%,84.30%,35.82%,0.00%,13.68%,1.60%,-27.90%,10.20%,1.10%,-35.39%,99.30%,2.81%,5.04,4.40%,6.80%,4.20%,2.8,1.3,0.1,0.1,16.60%,5.30%,3.80%,9.88%,20.74%,42.26%,15.69%,23.34%,3.21%,1.63%,8.53%,25.87%,-6.94%,54.37%,56.58,1.69,0.41,2.42,18,Industry 4.0,53.63,Mar 22/a,47.7,54.67
246,AIRI,Air Industries Group,27.55M,Industrials,Aerospace & Defense,USA,12.14,-,0.47,1.57,45.91,10.2,-,0.00%,23.80%,250.00%,15.10%,-,2.80%,18.90%,6.20%,21.00%,0.26%,14.70%,4.04%,0.35,3.00%,10.20%,6.10%,1.7,0.5,0.53,1.34,17.40%,4.30%,2.80%,-8.94%,-11.17%,-16.67%,-46.88%,-6.28%,4.95%,-4.10%,-5.43%,-19.84%,-57.31%,10.69%,40.69,0.03,0.01,0.6,15,Industry 4.0,46.65,Mar 07/b,0.84,2
249,AIRT,"Air T, Inc.",63.61M,Industrials,Integrated Freight & Logistics,USA,-,-,0.37,2.93,12.23,-,-,0.00%,-,-,-32.20%,-,3.40%,-160.30%,-18.60%,2.10%,16.99%,26.60%,-3.62%,0.26,0.60%,5.60%,-5.70%,5,1.4,5.22,5.37,22.00%,1.40%,0.60%,-9.64%,-17.95%,-24.53%,-12.20%,-18.41%,7.29%,-8.33%,-15.42%,-27.49%,-53.54%,1.37%,37.39,0.06,0.01,0.9,31,Industry 3.0,40.7,-,20.0,-
250,AIT,"Applied Industrial Technologies, Inc.",3.93B,Industrials,Industrial Distribution,USA,16.25,1.5,1.12,3.89,25.41,40.35,1.32%,22.60%,523.50%,8.40%,37.50%,12.00%,5.10%,-,16.70%,1.40%,-6.98%,94.60%,-0.34%,3.14,9.90%,23.30%,9.80%,2.9,1.9,0.67,0.71,29.40%,8.80%,6.40%,2.70%,0.64%,11.13%,9.64%,0.52%,2.44%,1.44%,3.43%,7.64%,-6.31%,27.20%,56.4,3.93,0.98,2.13,31,Industry 3.0,54.48,Jan 27/b,102.94,118
254,AJRD,"Aerojet Rocketdyne Holdings, Inc.",3.16B,Industrials,Aerospace & Defense,USA,19.01,1.87,1.44,5.99,4.44,-,-,0.00%,5.30%,8.78%,45.50%,12.30%,4.40%,5.50%,6.00%,0.90%,0.00%,94.10%,1.40%,3.7,6.00%,36.90%,19.60%,1.4,1.4,0.55,0.86,17.70%,11.30%,6.50%,2.09%,-13.87%,-6.12%,-15.84%,-14.35%,3.07%,4.07%,5.25%,-5.74%,-18.60%,14.38%,58.56,3.16,0.67,3.1,29,Industry 4.0,46.44,Feb 18/b,40.57,44.67
270,AL,Air Lease Corporation,5.06B,Industrials,Rental & Leasing Services,USA,7.18,0.95,2.42,0.72,4.66,4.71,1.68%,18.60%,-18.80%,30.29%,0.70%,13.04%,8.00%,32.40%,22.10%,2.70%,-0.72%,93.70%,0.51%,1.93,1.60%,6.20%,4.00%,-,-,2.43,2.43,-,50.50%,19.50%,20.38%,-2.33%,8.27%,-10.93%,-0.52%,3.64%,3.92%,4.98%,2.93%,-15.12%,29.54%,54.11,5.06,1.45,0.5,31,Industry 3.0,62.69,Feb 17/a,43.28,55.62
283,ALG,Alamo Group Inc.,1.71B,Industrials,Farm & Heavy Construction Machinery,USA,15.25,3.2,1.28,2.39,40.66,96.17,0.51%,8.30%,38.20%,13.78%,14.30%,6.60%,9.60%,107.10%,16.80%,1.90%,-10.32%,93.00%,0.79%,3.8,6.60%,11.80%,9.00%,3.2,1.5,0.36,0.38,25.10%,8.80%,6.00%,-0.63%,-4.59%,0.75%,-10.48%,-3.32%,2.32%,-3.04%,-0.38%,-3.74%,-14.78%,7.68%,41.21,1.71,0.39,1.5,24,Industry 4.0,49.6,Feb 24/a,141.44,173.75
287,ALGT,Allegiant Travel Company,2.94B,Industrials,Airlines,USA,10.09,-,1.72,2.33,2.48,10.4,-,0.00%,175.30%,116.50%,-8.20%,-,4.40%,132.80%,101.50%,12.50%,-1.67%,87.40%,-0.05%,1.82,4.00%,14.00%,7.40%,2,2,1.32,1.42,66.80%,15.40%,8.80%,2.07%,-16.16%,-20.87%,-36.45%,-14.41%,4.37%,2.59%,-4.51%,-13.97%,-38.61%,18.91%,47.77,2.94,0.82,3.8,22,Industry 4.0,61.13,Feb 02/a,157.0,231.9
291,ALJJ,"ALJ Regional Holdings, Inc.",112.82M,Industrials,Specialty Business Services,USA,-,-,0.26,32.75,53.72,-,-,-,94.40%,-,-17.90%,-,10.40%,-397.50%,-7.20%,51.67%,0.00%,7.10%,1.06%,0.25,-5.80%,-113.60%,5.70%,1.4,1.3,32.59,33.66,19.10%,0.00%,-2.80%,1.55%,45.56%,149.52%,62.73%,43.96%,5.17%,3.68%,11.18%,67.57%,-4.91%,177.33%,57.85,0.11,0.03,3.57,21,Industry 3.0,54.43,-,2.66,-
292,ALK,"Alaska Air Group, Inc.",7.20B,Industrials,Airlines,USA,8.95,0.81,1.17,1.89,2.31,7.08,-,0.00%,134.10%,103.57%,-10.60%,19.43%,0.80%,100.90%,135.00%,0.20%,-4.20%,75.60%,-1.50%,1.35,3.40%,14.10%,8.20%,1,1,0.57,0.67,51.90%,11.10%,7.70%,16.32%,5.71%,-7.94%,-22.48%,9.71%,4.22%,4.87%,3.94%,1.70%,-23.64%,30.46%,55.63,7.2,2.29,2.88,26,Industry 3.0,69.71,Apr 21/b,56.7,73.15
296,ALLE,Allegion plc,9.67B,Industrials,Security & Protection Services,Ireland,17.18,2.01,3.37,13.09,24.29,30.77,1.29%,26.80%,57.60%,14.51%,17.70%,10.37%,5.10%,24.40%,-2.50%,0.40%,-7.31%,90.30%,-2.86%,2.6,15.90%,61.60%,22.20%,1.9,1.2,1.88,1.9,42.00%,18.50%,16.80%,-5.11%,-13.96%,-14.56%,-15.36%,-15.96%,2.58%,-1.88%,-3.95%,-13.95%,-24.90%,4.54%,43.39,9.67,2.28,1.32,26,Industry 3.0,51.75,Apr 26/b,111.68,141.54
307,ALPP,"Alpine 4 Holdings, Inc.",186.37M,Industrials,Metal Fabrication,USA,-,-,3.98,3.87,34.51,-,-,-,18.00%,-,36.60%,-,333.60%,238.70%,100.00%,2.20%,0.00%,8.20%,-,6.29,-14.00%,-33.20%,-17.20%,1.4,1,0.46,0.67,20.30%,-14.30%,-23.80%,-18.31%,-42.86%,-59.01%,-71.22%,-39.58%,10.64%,-10.22%,-22.74%,-53.93%,-80.49%,7.18%,40.04,0.19,0.05,3.4,28,Industry 3.0,53.52,-,1.12,-
315,ALTG,Alta Equipment Group Inc.,400.05M,Industrials,Rental & Leasing Services,USA,37.57,-,0.35,3.28,333.37,21.28,-,-,27.80%,98.38%,-,-,-,-250.40%,33.70%,19.70%,14.76%,66.30%,-1.97%,4.62,-3.20%,-16.70%,-,1.2,0.6,2.28,3.72,25.50%,-1.10%,-2.10%,10.94%,-4.57%,-0.72%,0.80%,-5.81%,3.19%,8.11%,3.97%,-2.26%,-23.22%,14.45%,59.35,0.4,0.09,1.78,32,Industry 4.0,47.83,Mar 31/a,13.35,20.75
343,AMRC,"Ameresco, Inc.",4.17B,Industrials,Engineering & Construction,USA,38.16,2.24,3.43,5.95,82.56,-,-,0.00%,22.30%,12.37%,39.10%,27.00%,13.30%,12.50%,32.30%,2.40%,-18.09%,87.50%,0.91%,4.36,3.50%,10.60%,8.40%,1.3,1.3,0.54,0.65,18.90%,7.90%,5.80%,28.39%,-1.19%,40.00%,62.94%,-0.38%,6.33%,2.07%,24.83%,14.13%,-22.05%,86.69%,60,4.17,1.04,2.8,16,Industry 4.0,54.86,Feb 28/a,79.4,82.08
349,AMSC,American Superconductor Corporation,233.60M,Industrials,Specialty Industrial Machinery,USA,-,-,2.31,2,5.32,-,-,-,-16.60%,55.00%,11.60%,25.00%,-1.90%,49.20%,13.60%,3.50%,-4.25%,63.30%,1.98%,4.92,-12.10%,-18.80%,-19.20%,1.8,1.4,0,0,13.00%,-23.40%,-21.50%,3.91%,-25.23%,-41.85%,-56.45%,-24.26%,7.49%,-3.51%,-0.59%,-34.46%,-59.15%,16.05%,48.35,0.23,0.06,2.1,24,Industry 3.0,56.63,Feb 02/a,8.17,17.33
397,AOS,A. O. Smith Corporation,10.21B,Industrials,Specialty Industrial Machinery,USA,17.61,2.77,2.89,5.81,16.17,25.79,1.67%,34.80%,42.40%,11.64%,10.30%,8.00%,5.70%,18.30%,19.30%,0.50%,-29.58%,97.30%,-1.61%,4.1,15.00%,26.40%,24.00%,1.6,1.2,0.1,0.11,37.00%,17.70%,13.80%,-1.94%,-19.76%,9.63%,-2.67%,-21.89%,2.38%,-0.89%,-5.52%,-9.18%,-23.83%,9.40%,44.49,10.21,2.34,2.3,27,Industry 4.0,50.24,Jan 27/b,66.07,81.33
400,AP,Ampco-Pittsburgh Corporation,121.09M,Industrials,Metal Fabrication,USA,-,-,0.35,1.46,11.76,-,-,-,-223.00%,-,36.90%,-,0.80%,-687.20%,-2.90%,1.60%,0.00%,53.30%,5.00%,23.87,-2.70%,-15.60%,-11.10%,1.5,0.8,0.5,0.74,16.60%,-4.00%,-3.70%,-2.62%,23.73%,30.91%,-13.32%,26.20%,2.83%,-7.22%,-3.43%,9.11%,-27.35%,44.42%,29.67,0.12,0.03,1.9,27,Industry 4.0,54.65,Mar 16/b,5.95,-
409,APG,APi Group Corporation,4.85B,Industrials,Engineering & Construction,USA,13.26,-,1.23,1.88,4.08,38.2,-,-,70.00%,20.15%,-22.60%,6.00%,8.60%,45.00%,26.10%,1.20%,0.00%,77.20%,-2.14%,5.53,-3.00%,-6.70%,2.30%,3,2.9,0.79,0.81,23.80%,3.20%,-3.50%,6.05%,-18.95%,2.86%,-3.56%,-19.01%,3.52%,-1.90%,-3.01%,-7.33%,-23.34%,11.46%,44.97,4.85,0.98,3.5,28,Industry 4.0,44.29,Mar 01/b,20.58,29.26
419,APOG,"Apogee Enterprises, Inc.",1.18B,Industrials,Building Products & Equipment,USA,16.66,-,0.91,2.56,15.05,18.02,1.65%,-,-74.70%,26.65%,-23.40%,15.00%,4.60%,-69.30%,6.60%,0.30%,-9.99%,93.80%,-2.04%,3.88,-2.30%,-4.70%,2.80%,1.7,1.3,0.34,0.34,21.40%,-1.80%,-1.70%,7.53%,1.89%,29.52%,19.56%,0.79%,3.04%,-0.01%,3.66%,10.73%,-4.91%,41.59%,51.82,1.18,0.25,1.9,24,Industry 4.0,47.24,Apr 07/b,47.97,49.25
429,APT,"Alpha Pro Tech, Ltd.",56.20M,Industrials,Building Products & Equipment,Canada,-,0.6,0.82,0.93,-,-,-,0.00%,-74.00%,-,21.60%,15.00%,8.30%,-91.30%,-54.50%,0.10%,-44.19%,22.50%,8.31%,1.97,9.90%,10.80%,9.90%,19.9,10.5,0,0,36.90%,11.60%,9.80%,11.25%,-26.57%,-30.58%,-54.96%,-25.46%,5.50%,-0.37%,-2.24%,-32.66%,-65.52%,13.24%,46.94,0.06,0.01,2.0,15,Industry 4.0,54.7,-,4.26,-
435,APWC,Asia Pacific Wire & Cable Corporation Limited,27.28M,Industrials,Electrical Equipment & Parts,Taiwan,-,-,0.07,0.18,-,-,-,0.00%,66.20%,-,41.00%,-,-4.30%,53.80%,152.90%,75.40%,0.00%,5.70%,-4.91%,1.56,0.00%,0.10%,2.60%,2.2,1.3,0.03,0.4,9.60%,3.00%,0.00%,19.51%,-12.89%,-37.36%,-52.66%,-3.92%,11.30%,2.99%,11.18%,-28.51%,-58.48%,46.39%,54.72,0.03,0.01,3.6,15,Industry 4.0,54.7,-,1.9,-
439,AQMS,"Aqua Metals, Inc.",109.77M,Industrials,Waste Management,USA,18.71,-,548.87,4.3,13.55,-,-,-,38.60%,36.00%,21.80%,35.00%,-,74.80%,-,8.00%,-4.73%,23.40%,5.31%,5.38,-48.40%,-57.20%,-46.50%,3.1,3,0,0.01,-,-,-,51.43%,12.77%,-20.90%,-60.25%,29.27%,12.72%,13.10%,34.12%,-13.02%,-63.79%,106.58%,61.72,0.11,0.03,1.0,29,Industry 3.0,50.36,Feb 24/a,1.55,8
